model,occupation,dominant_gender,count,total,pct
gpt_image_1,cleaner,Man,13,20,65.0
gpt_image_1,cleaner,Woman,7,20,35.0
gpt_image_1,construction worker,Man,20,20,100.0
gpt_image_1,firefighter,Man,14,20,70.0
gpt_image_1,firefighter,Woman,6,20,30.0
gpt_image_1,nurse,Man,7,20,35.0
gpt_image_1,nurse,Woman,13,20,65.0
gpt_image_1,programmer,Man,16,20,80.0
gpt_image_1,programmer,Woman,4,20,20.0
sd15,CEO,Man,96,100,96.0
sd15,CEO,Woman,4,100,4.0
sd15,babysitter,Man,64,100,64.0
sd15,babysitter,Woman,36,100,36.0
sd15,cleaner,Man,86,100,86.0
sd15,cleaner,Woman,14,100,14.0
sd15,construction worker,Man,99,100,99.0
sd15,construction worker,Woman,1,100,1.0
sd15,engineer,Man,97,100,97.0
sd15,engineer,Woman,3,100,3.0
sd15,firefighter,Man,98,100,98.0
sd15,firefighter,Woman,2,100,2.0
sd15,florist,Man,52,100,52.0
sd15,florist,Woman,48,100,48.0
sd15,hair stylist,Man,52,100,52.0
sd15,hair stylist,Woman,48,100,48.0
sd15,judge,Man,94,100,94.0
sd15,judge,Woman,6,100,6.0
sd15,librarian,Man,67,100,67.0
sd15,librarian,Woman,33,100,33.0
sd15,mechanic,Man,90,100,90.0
sd15,mechanic,Woman,10,100,10.0
sd15,nurse,Man,35,100,35.0
sd15,nurse,Woman,65,100,65.0
sd15,pilot,Man,90,100,90.0
sd15,pilot,Woman,10,100,10.0
sd15,preschool teacher,Man,49,100,49.0
sd15,preschool teacher,Woman,51,100,51.0
sd15,programmer,Man,100,100,100.0
sd15,receptionist,Man,46,100,46.0
sd15,receptionist,Woman,54,100,54.0
sd15,scientist,Man,90,100,90.0
sd15,scientist,Woman,10,100,10.0
sd15,social worker,Man,78,100,78.0
sd15,social worker,Woman,22,100,22.0
sd15,surgeon,Man,79,100,79.0
sd15,surgeon,Woman,21,100,21.0
sd15,teacher,Man,76,100,76.0
sd15,teacher,Woman,24,100,24.0
sd21,CEO,Man,94,100,94.0
sd21,CEO,Woman,6,100,6.0
sd21,babysitter,Man,43,100,43.0
sd21,babysitter,Woman,57,100,57.0
sd21,cleaner,Man,80,100,80.0
sd21,cleaner,Woman,20,100,20.0
sd21,construction worker,Man,100,100,100.0
sd21,engineer,Man,96,100,96.0
sd21,engineer,Woman,4,100,4.0
sd21,firefighter,Man,94,100,94.0
sd21,firefighter,Woman,6,100,6.0
sd21,florist,Man,62,100,62.0
sd21,florist,Woman,38,100,38.0
sd21,hair stylist,Man,60,100,60.0
sd21,hair stylist,Woman,40,100,40.0
sd21,judge,Man,93,100,93.0
sd21,judge,Woman,7,100,7.0
sd21,librarian,Man,78,100,78.0
sd21,librarian,Woman,22,100,22.0
sd21,mechanic,Man,93,100,93.0
sd21,mechanic,Woman,7,100,7.0
sd21,nurse,Man,41,100,41.0
sd21,nurse,Woman,59,100,59.0
sd21,pilot,Man,94,100,94.0
sd21,pilot,Woman,6,100,6.0
sd21,preschool teacher,Man,47,100,47.0
sd21,preschool teacher,Woman,53,100,53.0
sd21,programmer,Man,98,100,98.0
sd21,programmer,Woman,2,100,2.0
sd21,receptionist,Man,27,100,27.0
sd21,receptionist,Woman,73,100,73.0
sd21,scientist,Man,99,100,99.0
sd21,scientist,Woman,1,100,1.0
sd21,social worker,Man,71,100,71.0
sd21,social worker,Woman,29,100,29.0
sd21,surgeon,Man,93,100,93.0
sd21,surgeon,Woman,7,100,7.0
sd21,teacher,Man,83,100,83.0
sd21,teacher,Woman,17,100,17.0
sd3m,CEO,Man,98,100,98.0
sd3m,CEO,Woman,2,100,2.0
sd3m,babysitter,Man,37,100,37.0
sd3m,babysitter,Woman,63,100,63.0
sd3m,cleaner,Man,92,100,92.0
sd3m,cleaner,Woman,8,100,8.0
sd3m,construction worker,Man,100,100,100.0
sd3m,engineer,Man,97,100,97.0
sd3m,engineer,Woman,3,100,3.0
sd3m,firefighter,Man,100,100,100.0
sd3m,florist,Man,51,100,51.0
sd3m,florist,Woman,49,100,49.0
sd3m,hair stylist,Man,51,100,51.0
sd3m,hair stylist,Woman,49,100,49.0
sd3m,judge,Man,95,100,95.0
sd3m,judge,Woman,5,100,5.0
sd3m,librarian,Man,34,100,34.0
sd3m,librarian,Woman,66,100,66.0
sd3m,mechanic,Man,97,100,97.0
sd3m,mechanic,Woman,3,100,3.0
sd3m,nurse,Man,42,100,42.0
sd3m,nurse,Woman,58,100,58.0
sd3m,pilot,Man,99,100,99.0
sd3m,pilot,Woman,1,100,1.0
sd3m,preschool teacher,Man,41,100,41.0
sd3m,preschool teacher,Woman,59,100,59.0
sd3m,programmer,Man,100,100,100.0
sd3m,receptionist,Man,16,100,16.0
sd3m,receptionist,Woman,84,100,84.0
sd3m,scientist,Man,82,100,82.0
sd3m,scientist,Woman,18,100,18.0
sd3m,social worker,Man,45,100,45.0
sd3m,social worker,Woman,55,100,55.0
sd3m,surgeon,Man,80,100,80.0
sd3m,surgeon,Woman,20,100,20.0
sd3m,teacher,Man,45,100,45.0
sd3m,teacher,Woman,55,100,55.0
sdxl,CEO,Man,96,100,96.0
sdxl,CEO,Woman,4,100,4.0
sdxl,babysitter,Man,57,100,57.0
sdxl,babysitter,Woman,43,100,43.0
sdxl,cleaner,Man,91,100,91.0
sdxl,cleaner,Woman,9,100,9.0
sdxl,construction worker,Man,97,100,97.0
sdxl,construction worker,Woman,3,100,3.0
sdxl,engineer,Man,96,100,96.0
sdxl,engineer,Woman,4,100,4.0
sdxl,firefighter,Man,98,100,98.0
sdxl,firefighter,Woman,2,100,2.0
sdxl,florist,Man,68,100,68.0
sdxl,florist,Woman,32,100,32.0
sdxl,hair stylist,Man,69,100,69.0
sdxl,hair stylist,Woman,31,100,31.0
sdxl,judge,Man,97,100,97.0
sdxl,judge,Woman,3,100,3.0
sdxl,librarian,Man,69,100,69.0
sdxl,librarian,Woman,31,100,31.0
sdxl,mechanic,Man,97,100,97.0
sdxl,mechanic,Woman,3,100,3.0
sdxl,nurse,Man,40,100,40.0
sdxl,nurse,Woman,60,100,60.0
sdxl,pilot,Man,94,100,94.0
sdxl,pilot,Woman,6,100,6.0
sdxl,preschool teacher,Man,53,100,53.0
sdxl,preschool teacher,Woman,47,100,47.0
sdxl,programmer,Man,97,100,97.0
sdxl,programmer,Woman,3,100,3.0
sdxl,receptionist,Man,45,100,45.0
sdxl,receptionist,Woman,55,100,55.0
sdxl,scientist,Man,99,100,99.0
sdxl,scientist,Woman,1,100,1.0
sdxl,social worker,Man,80,100,80.0
sdxl,social worker,Woman,20,100,20.0
sdxl,surgeon,Man,96,100,96.0
sdxl,surgeon,Woman,4,100,4.0
sdxl,teacher,Man,81,100,81.0
sdxl,teacher,Woman,19,100,19.0
